계약일,자치구명,법정동명,주소,건물명,층,위도,경도,전월세 구분,임대면적(㎡),보증금(만원),임대료(만원),계약기간,신규갱신여부,계약갱신권사용여부,종전 보증금,종전 임대료,건축년도,건물용도
2024513,종로구,창신동,서울특별시 종로구 창신동,,,,,전세,44.2,"12,000",0,24.06~26.06,신규,,,,,단독다가구
2024513,종로구,혜화동,서울특별시 종로구 혜화동,,,,,전세,65.47,"30,000",0,24.06~26.06,신규,,,,,단독다가구
2024514,종로구,행촌동,서울특별시 종로구 행촌동,,,,,전세,35.18,"15,000",0,24.06~26.06,신규,,,,,단독다가구
2024514,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,46.59,"15,000",0,24.05~26.05,갱신,,"15,000",,,단독다가구
2024516,종로구,계동,서울특별시 종로구 계동,,,,,월세,44.61,"4,000",80,24.05~26.05,신규,,,,,단독다가구
2024516,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,전세,42.85,"14,000",0,24.06~26.05,갱신,,"12,000",,,단독다가구
2024516,중구,신당동,서울특별시 중구 신당동,,,,,전세,41,"19,000",0,24.05~26.05,갱신,,"14,000",,,단독다가구
202452,용산구,청파동2가,서울특별시 용산구 청파동2가,,,,,월세,16.53,500,30,24.05~25.05,신규,,,,,단독다가구
202452,용산구,원효로4가,서울특별시 용산구 원효로4가,,,,,전세,49.98,"15,000",0,24.05~26.05,신규,,,,,단독다가구
202452,종로구,충신동,서울특별시 종로구 충신동,,,,,월세,72.73,500,58,24.05~26.05,신규,,,,,단독다가구
202452,용산구,동빙고동,서울특별시 용산구 동빙고동,,,,,전세,36.75,"21,000",0,24.07~26.07,신규,,,,,단독다가구
202452,용산구,청파동1가,서울특별시 용산구 청파동1가,,,,,월세,32.79,"8,000",25,24.06~26.06,신규,,,,,단독다가구
202452,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,월세,16,500,40,24.05~26.05,신규,,,,,단독다가구
202453,용산구,용산동2가,서울특별시 용산구 용산동2가,,,,,월세,65.39,"12,000",40,24.06~26.06,신규,,,,,단독다가구
202453,중구,신당동,서울특별시 중구 신당동,,,,,전세,41.82,"7,000",0,,,,,,,단독다가구
202453,용산구,청파동3가,서울특별시 용산구 청파동3가,,,,,월세,15,"1,000",60,24.05~26.05,신규,,,,,단독다가구
202453,종로구,명륜3가,서울특별시 종로구 명륜3가,,,,,월세,15,500,42,24.05~26.05,신규,,,,,단독다가구
202453,용산구,보광동,서울특별시 용산구 보광동,,,,,월세,69.92,"1,000",80,24.05~26.05,신규,,,,,단독다가구
202453,용산구,이태원동,서울특별시 용산구 이태원동,,,,,월세,32.34,"1,000",75,24.05~26.05,신규,,,,,단독다가구
202453,용산구,이태원동,서울특별시 용산구 이태원동,,,,,전세,32.49,"18,000",0,24.06~26.06,신규,,,,,단독다가구
202453,종로구,혜화동,서울특별시 종로구 혜화동,,,,,월세,40,"1,000",80,24.05~26.05,신규,,,,,단독다가구
202453,용산구,후암동,서울특별시 용산구 후암동,,,,,월세,83.75,"40,000",25,24.06~26.06,신규,,,,,단독다가구
202453,중구,황학동,서울특별시 중구 황학동,,,,,월세,186.55,200,32,24.05~26.05,신규,,,,,단독다가구
202454,중구,신당동,서울특별시 중구 신당동,,,,,월세,20,300,35,24.05~26.05,신규,,,,,단독다가구
202454,종로구,명륜1가,서울특별시 종로구 명륜1가,,,,,월세,94.37,"5,000",170,24.05~26.05,신규,,,,,단독다가구
202454,중구,신당동,서울특별시 중구 신당동,,,,,전세,57.29,"25,000",0,24.05~26.05,신규,,,,,단독다가구
202454,중구,충무로4가,서울특별시 중구 충무로4가,,,,,월세,43.07,"3,000",200,24.05~26.05,신규,,,,,단독다가구
202454,용산구,이태원동,서울특별시 용산구 이태원동,,,,,월세,188,100,45,24.05~25.05,신규,,,,,단독다가구
202454,종로구,동숭동,서울특별시 종로구 동숭동,,,,,월세,40,"10,000",30,24.05~26.05,신규,,,,,단독다가구
202454,종로구,창신동,서울특별시 종로구 창신동,,,,,월세,44.34,200,29,24.05~26.05,신규,,,,,단독다가구
202454,용산구,원효로1가,서울특별시 용산구 원효로1가,,,,,전세,50,"23,000",0,24.06~26.06,신규,,,,,단독다가구
202456,중구,신당동,서울특별시 중구 신당동,,,,,월세,39.83,500,45,24.05~25.05,신규,,,,,단독다가구
202456,중구,신당동,서울특별시 중구 신당동,,,,,전세,35,"14,000",0,24.05~26.05,갱신,,"13,000",,,단독다가구
202456,용산구,청파동1가,서울특별시 용산구 청파동1가,,,,,전세,67.11,"28,500",0,24.07~26.07,갱신,,"27,825",,,단독다가구
202456,용산구,이태원동,서울특별시 용산구 이태원동,,,,,월세,13.6,300,40,24.05~26.05,신규,,,,,단독다가구
